site_code,start_date,end_date,status,lat,long,land_use_start,land_use_end,land_use,land_use_changed,nlcd_code_start,nlcd_code_end,nlcd_code_latest,nlcd_code_2001,land_use_2001,nlcd_code_2006,land_use_2006,nlcd_code_2011,land_use_2011,nlcd_code_2016,land_use_2016,nlcd_code_2019,land_use_2019
MVLH2,1999-06-17,2002-04-14,Retired early,33.41131200299256,-111.68803865806892,"Developed, high intensity","Developed, high intensity","Developed, high intensity",False,24,24,24,24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity"
MW,1999-06-16,2001-08-07,Retired early,33.43714156348268,-111.72315908076835,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
Mine,2012-03-02,2014-12-08,Retired early,33.652722605,-111.788845595,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
NDV-C,2004-02-08,2016-11-04,Retired early,33.312194817357906,-111.6776323889464,"Developed, open space","Developed, open space","Developed, open space",False,21,21,21,21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space"
NDV-M,2004-01-05,2016-11-04,Retired early,33.31074642190865,-111.68082793969134,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
NDV-N,2004-01-05,2016-11-04,Retired early,33.31418220445788,-111.68082087415809,"Developed, open space","Developed, open space","Developed, open space",False,21,21,21,21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space"
NDV-O,2004-01-05,2016-11-04,Retired early,33.311589221059876,-111.67850361531791,"Developed, open space","Developed, open space","Developed, open space",False,21,21,21,21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space"
NDV-X,2004-01-05,2016-11-04,Retired early,33.31230403900413,-111.68091258701499,"Developed, open space","Developed, open space","Developed, open space",False,21,21,21,21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space"
NL,1999-06-10,2002-04-01,Retired early,33.408583255108645,-111.93305851388364,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
NM,1999-06-25,2002-04-15,Retired early,33.5988256855631,-112.07033089888972,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
O-9,2002-05-08,2025-01-24,Sampled to study end,33.70610866490545,-112.3569756908514,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
OCOTIL,1998-06-18,2002-04-15,Retired early,33.42623006902914,-111.91513199185947,Shrub/scrub,Shrub/scrub,"Developed, high intensity",True,52,52,24,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,24,"Developed, high intensity"
P-18,2002-10-07,2016-11-03,Retired early,33.41159838599925,-112.28980806525989,Cultivated crops,Cultivated crops,Cultivated crops,False,82,82,82,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops
Paraiso,2012-02-23,2025-01-20,Sampled to study end,33.693904995,-111.81341669,Shrub/scrub,Shrub/scrub,Shrub/scrub,True,52,52,52,71,Grassland/herbaceous,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
Prospector,2012-03-02,2014-12-08,Retired early,33.65168216,-111.797182615,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
Q-16,2004-10-25,2016-11-03,Retired early,33.47873303366547,-112.26496173355505,Cultivated crops,Cultivated crops,Cultivated crops,False,82,82,82,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops
Q-7,2002-06-02,2016-10-27,Retired early,33.7842478475622,-112.25004240126111,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
ROBWEL,1998-06-11,2001-11-26,Retired early,33.408617986682195,-111.94468846017398,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
ROTHE,1999-06-18,2002-04-22,Retired early,33.65555395848984,-112.2078658508663,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
Rincon,2012-03-02,2025-01-25,Sampled to study end,33.597271495,-111.810251345,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
S-17,2004-10-25,2013-11-11,Retired early,33.421968843808095,-112.18205196458057,Shrub/scrub,"Developed, low intensity","Developed, low intensity",True,52,22,22,52,Shrub/scrub,52,Shrub/scrub,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
SM2,1999-02-15,2002-04-01,Retired early,33.33434460417357,-112.0150248104731,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
STHMTN,1998-05-04,2002-02-13,Retired early,33.35933835214526,-112.00424990038866,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
Sunrise,2012-03-02,2025-01-25,Sampled to study end,33.60752663,-111.804051625,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
