site_code,start_date,end_date,status,location_type,lat,long,land_use_start,land_use_end,land_use,land_use_changed,nlcd_code_start,nlcd_code_end,nlcd_code_latest,nlcd_code_2001,land_use_2001,nlcd_code_2006,land_use_2006,nlcd_code_2011,land_use_2011,nlcd_code_2016,land_use_2016,nlcd_code_2019,land_use_2019,nlcd_code_2021,land_use_2021
V-16,2000-10-12,2016-05-02,Retired early,ESCA,33.4711342620001,-112.046812844,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
V-18,2000-10-17,2014-03-28,Retired early,ESCA,33.38786046,-112.02883017,"Developed, open space","Developed, open space","Developed, low intensity",True,21,21,22,21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",22,"Developed, low intensity",22,"Developed, low intensity"
V-20,2000-10-26,2025-04-29,Sampled to study end,ESCA,33.32819623,-112.03228427,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
W-15,2000-08-21,2025-04-24,Sampled to study end,ESCA,33.52388542,-111.99231927,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
W-17,2000-08-09,2016-05-11,Retired early,ESCA,33.44471,-111.999657,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
W-6,2000-08-04,2016-05-04,Retired early,ESCA,33.82083085,-112.01090472,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
X-18,2000-10-12,2016-04-19,Retired early,ESCA,33.41962662,-111.92893323,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
X-8,2000-08-04,2025-04-23,Sampled to study end,ESCA,33.7766713,-111.95039023,Shrub/scrub,"Developed, medium intensity","Developed, medium intensity",True,52,23,23,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
Y-19,2000-08-18,2025-05-02,Sampled to study end,ESCA,33.37724,-111.91532,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
Z-23,2000-08-25,2025-05-02,Sampled to study end,ESCA,33.21929,-111.87161,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
